"Characteristics persons","Margins","Periods","Smoking behaviour, 12 years or older Smoking status
Smokers (%)","Smokers Daily smokers in the population (%)","Passive smoking among non-smokers Passive smoking among non-smokers
(Almost) never (%)","Alcohol consumption, 12 years or older Guideline alcohol use (%)","Drugs use, 12 years or older Use of cannabis
Last month (%)","Use of cannabis Last year (%)","Length and weight Under- and overweight, 4 years or older
Overweight (%)","Nutrition, 4 years or older Consumption of fruit
At least 5 days a week sufficient fruit (%)"
"Sex: Female","Value","2015","21.2","16.2",".","50.3","2.2","4.4","39.9","41.4"
"Sex: Female","Value","2016","18.5","14.6",".","51.5","2.2","4.4","41.4","40.9"
"Sex: Female","Value","2017","18.1","13.6",".","51.8","2.5","4.8","40.5","44.0"
"Sex: Female","Value","2018","18.2","12.9",".","51.3","2.7","4.9","41.6","41.1"
"Sex: Female","Value","2019","17.1","12.7","79.4","53.6","2.8","4.8","40.1","42.1"
"Sex: Female","Value","2020","16.6","12.6","82.2","56.6","2.9","5.5","41.6","43.7"
"Sex: Female","Value","2021","15.8","11.5","84.7","54.5","2.4","5.5","42.7","43.2"
"Sex: Female","Lower boundary 95% confidence interval","2014","19.6","14.9",".","47.2",".",".","38.6","37.6"
"Sex: Female","Lower boundary 95% confidence interval","2015","20.0","15.1",".","48.8","1.7","3.7","38.4","40.0"
"Sex: Female","Lower boundary 95% confidence interval","2016","17.3","13.6",".","49.9","1.7","3.8","39.9","39.5"
"Sex: Female","Lower boundary 95% confidence interval","2017","17.0","12.5",".","50.4","2.0","4.1","39.1","42.6"
"Sex: Female","Lower boundary 95% confidence interval","2018","17.1","11.9",".","49.9","2.2","4.2","40.2","39.7"
"Sex: Female","Lower boundary 95% confidence interval","2019","15.9","11.7","78.2","52.0","2.4","4.2","38.7","40.7"
"Sex: Female","Lower boundary 95% confidence interval","2020","15.5","11.6","81.0","55.0","2.4","4.7","40.1","42.2"
"Sex: Female","Lower boundary 95% confidence interval","2021","14.5","10.3","83.4","52.8","1.9","4.7","41.1","41.6"
"Sex: Female","Upper boundary 95% confidence interval","2014","22.0","17.2",".","50.3",".",".","41.4","40.4"
"Sex: Female","Upper boundary 95% confidence interval","2015","22.5","17.3",".","51.8","2.6","5.0","41.3","42.9"
"Sex: Female","Upper boundary 95% confidence interval","2016","19.7","15.7",".","53.0","2.7","5.0","42.8","42.4"
"Sex: Female","Upper boundary 95% confidence interval","2017","19.2","14.6",".","53.3","3.0","5.4","41.9","45.4"
"Sex: Female","Upper boundary 95% confidence interval","2018","19.4","13.9",".","52.8","3.2","5.5","43.0","42.5"
"Sex: Female","Upper boundary 95% confidence interval","2019","18.3","13.7","80.6","55.2","3.2","5.4","41.5","43.5"
"Sex: Female","Upper boundary 95% confidence interval","2020","17.8","13.7","83.4","58.1","3.4","6.2","43.1","45.2"
"Sex: Female","Upper boundary 95% confidence interval","2021","17.2","12.7","85.9","56.2","3.1","6.4","44.3","44.8"
"Age: 0 to 3 years","Value","2014",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Value","2015",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Value","2016",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Value","2017",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Value","2018",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Value","2019",".",".","94.8",".",".",".",".","."
"Age: 0 to 3 years","Value","2020",".",".","95.7",".",".",".",".","."
"Age: 0 to 3 years","Value","2021",".",".","96.1",".",".",".",".","."
"Age: 0 to 3 years","Lower boundary 95% confidence interval","2014",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Lower boundary 95% confidence interval","2015",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Lower boundary 95% confidence interval","2016",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Lower boundary 95% confidence interval","2017",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Lower boundary 95% confidence interval","2018",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Lower boundary 95% confidence interval","2019",".",".","92.6",".",".",".",".","."
"Age: 0 to 3 years","Lower boundary 95% confidence interval","2020",".",".","93.5",".",".",".",".","."
"Age: 0 to 3 years","Lower boundary 95% confidence interval","2021",".",".","93.1",".",".",".",".","."
"Age: 0 to 3 years","Upper boundary 95% confidence interval","2014",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Upper boundary 95% confidence interval","2015",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Upper boundary 95% confidence interval","2016",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Upper boundary 95% confidence interval","2017",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Upper boundary 95% confidence interval","2018",".",".",".",".",".",".",".","."
"Age: 0 to 3 years","Upper boundary 95% confidence interval","2019",".",".","97.0",".",".",".",".","."
"Age: 0 to 3 years","Upper boundary 95% confidence interval","2020",".",".","97.8",".",".",".",".","."
"Age: 0 to 3 years","Upper boundary 95% confidence interval","2021",".",".","97.8",".",".",".",".","."
"Age: 4 to 11 years","Value","2014",".",".",".",".",".",".","11.6","36.5"
"Age: 4 to 11 years","Value","2015",".",".",".",".",".",".","12.2","39.5"
"Age: 4 to 11 years","Value","2016",".",".",".",".",".",".","11.9","44.9"
"Age: 4 to 11 years","Value","2017",".",".",".",".",".",".","13.1","48.5"
"Source: CBS."
