Region,Market,Chart,Name,Unit,Source,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028
Netherlands,Cannabis,Penetration Rate ,Medical Cannabis,percent,Statista Market Insights,0.158,0.194,0.238,0.292,0.359,0.441,0.439,0.438,0.436,0.435,0.434,0.433,0.432
Netherlands,Cannabis,Penetration Rate ,Recreational Cannabis,percent,Statista Market Insights,1.541,1.981,2.547,3.275,4.212,5.42,6.597,7.749,8.873,9.97,11.042,12.089,13.133
Netherlands,Cannabis,Penetration Rate ,Therapeutic Cannabis,percent,Statista Market Insights,3.184,3.907,4.794,5.884,7.225,8.873,10.492,12.085,13.651,15.191,16.705,18.194,19.678
Netherlands,Medical Cannabis,Revenue ,Total,million USD (US$),Statista Market Insights,1.74,2.114,2.595,3.105,3.689,4.49,5.424,6.375,7.37,8.411,9.503,10.62,11.73
Netherlands,Medical Cannabis,Revenue Growth ,Total,percent,Statista Market Insights,,21.494,22.753,19.653,18.808,21.713,20.802,17.533,15.608,14.125,12.983,11.754,10.452
Netherlands,Medical Cannabis,Average Revenue per User ,Total,USD (US$),Statista Market Insights,64.27,63.33,63.04,61.2,58.97,58.22,70.33,82.67,95.56,109.1,123.2,137.7,152.1
Netherlands,Medical Cannabis,Users ,Total,thousand users,Statista Market Insights,27.08,33.38,41.16,50.74,62.56,77.12,77.12,77.12,77.12,77.12,77.12,77.12,77.12
Netherlands,Medical Cannabis,Penetration Rate ,Total,percent,Statista Market Insights,0.158,0.194,0.238,0.292,0.359,0.441,0.439,0.438,0.436,0.435,0.434,0.433,0.432
Netherlands,Therapeutic Cannabis,Revenue ,Total,billion USD (US$),Statista Market Insights,0.267,0.332,0.415,0.509,0.621,0.772,0.95,1.139,1.341,1.558,1.791,2.038,2.284
Netherlands,Therapeutic Cannabis,Revenue Growth ,Total,percent,Statista Market Insights,,24.148,25.181,22.645,21.901,24.364,23.141,19.844,17.735,16.182,14.955,13.791,12.071
Netherlands,Therapeutic Cannabis,Average Revenue per User ,Total,thousand USD (US$),Statista Market Insights,0.49,0.493,0.501,0.498,0.493,0.497,0.516,0.535,0.556,0.579,0.603,0.629,0.65
Netherlands,Therapeutic Cannabis,Users ,Total,million users,Statista Market Insights,0.545,0.672,0.829,1.022,1.26,1.553,1.843,2.129,2.412,2.692,2.969,3.242,3.515
Netherlands,Therapeutic Cannabis,Penetration Rate ,Total,percent,Statista Market Insights,3.184,3.907,4.794,5.884,7.225,8.873,10.492,12.085,13.651,15.191,16.705,18.194,19.678
