"Country or Area","Year","Item","Value"
"Netherlands","1987","Gross Domestic Product (GDP)","16697.4626677591"
"Netherlands","1986","Gross Domestic Product (GDP)","13765.0553347298"
"Netherlands","1985","Gross Domestic Product (GDP)","9909.76368290927"
"Netherlands","1984","Gross Domestic Product (GDP)","9964.66783278329"
"Netherlands","1983","Gross Domestic Product (GDP)","10678.0688650967"
"Netherlands","1982","Gross Domestic Product (GDP)","11085.2844626117"
"Netherlands","1981","Gross Domestic Product (GDP)","11544.9495253261"
"Netherlands","1980","Gross Domestic Product (GDP)","13811.2998972566"
"Netherlands","1979","Gross Domestic Product (GDP)","12796.9951509961"
"Netherlands","1978","Gross Domestic Product (GDP)","11247.3289664256"
"Netherlands","1977","Gross Domestic Product (GDP)","9257.96903427278"
"Netherlands","1976","Gross Domestic Product (GDP)","7980.21530580358"
"Netherlands","1975","Gross Domestic Product (GDP)","7365.65350810443"
"Netherlands","1974","Gross Domestic Product (GDP)","6302.66549218556"
"Netherlands","1973","Gross Domestic Product (GDP)","5374.08466446844"
"Netherlands","1972","Gross Domestic Product (GDP)","4105.79023426113"
"Netherlands","1971","Gross Domestic Product (GDP)","3380.6484547261"
"Netherlands","1970","Gross Domestic Product (GDP)","2927.28937240064"

